ExperimentName,Subject,Handedness,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,FirstLanguage,Group,Occupation,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,CrossLangDiff,Expression,Form_Form_Chinese,Form_Form_English,Form_Form_Spanish,HumanORComputer,MetaphorID,Novelty_Chinese,Novelty_European,PostBlockList,PostBlockList.Cycle,PostBlockList.Sample,PracList,PracList.Cycle,PracList.Sample,Procedure[Trial],Q1.OnsetTime,Q1.RESP,Q1.RT,Q1.RTTime,Q2.RESP,Q2.RT,Q2.RTTime,Q3.RESP,Q3.RT,Q3.RTTime,Q4.RESP,Q4.RT,Q4.RTTime,Running[Trial],Stimuli,TextInput.RESP,TrialList,TrialList.Cycle,TrialList.Sample
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,1,0,,2,2,2,c,6,1,1,,,,,,,TrialProc,238231,Yes,3718,241949,2,2318,244293,4,2842,247157,human,3799,250973,TrialList,Art is gentle love.,,6,1,1
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,2,0,,1,1,2,c,33,2,2,,,,,,,TrialProc,255950,Yes,2031,257981,3,1527,259533,4,1957,261501,computer,3087,264604,TrialList,Programming is a cherished art. ,,33,1,2
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,3,1,,1,1,2,c,48,1,3,,,,,,,TrialProc,269657,Yes,2627,272284,1,3401,275700,2,1998,277724,computer,1640,279388,TrialList,Government is a warming light.,,48,1,3
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,4,1,,2,3,2,c,2,3,2,,,,,,,TrialProc,285354,Yes,2402,287756,2,3169,290947,4,1856,292827,human,2640,295483,TrialList,Religion is relaxing music.,,2,1,4
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,5,0,,1,2,2,h,51,1,1,,,,,,,TrialProc,300014,Yes,2309,302323,2,3161,305499,4,2969,308483,computer,3065,311571,TrialList,Wisdom is a distant foreigner.,,51,1,5
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,6,0,,1,2,2,c,46,1,1,,,,,,,TrialProc,316163,No,7199,323362,,0,0,2,3378,326762,computer,1569,328346,TrialList,Imagination is attractive beauty.,,46,1,6
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,7,0,,2,3,1,c,14,2,2,,,,,,,TrialProc,332845,No,5373,338218,,0,0,1,4501,342729,computer,1931,344673,TrialList,Language is gentle love.,,14,1,7
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,8,0,,1,2,2,c,11,1,1,,,,,,,TrialProc,350030,Yes,2115,352145,3,1343,353513,5,2045,355585,human,2116,357713,TrialList,Love is a comforting fire.,,11,1,8
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,9,0,,2,3,2,c,36,1,1,,,,,,,TrialProc,362484,Yes,2197,364681,3,2382,367089,4,1670,368784,computer,3905,372707,TrialList,Love is soothing music.,,36,1,9
Tweet_Rating_English_Right,111,1,1,31-45,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">15121508198</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T09:04:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_English_Right-41-1,59.821,1.0.0.325,English,1,Postgraduate student,-2057731985,Professional,2.0.10.353,2.0.10.353,05-26-2015,26/05/2015 09:04,10:04:17,male,2.0.10.248,4,4,1,4,BlockProc,BlockList,10,0,,1,1,2,c,44,3,3,,,,,,,TrialProc,378882,No,6870,385752,,0,0,2,4646,390416,computer,1671,392104,TrialList,Resistance is a warming light.,,44,1,10
