Word Context_Valence Context_Arousal Context_Concreteness
aah 5.692 4.034 2.988
aardvark 5.552 4.053 3.244
aaron 5.708 4.016 3.189
aas 5.634 3.998 2.93
aback 5.493 4.195 2.88
abacus 5.733 3.925 3.097
abacuses 5.734 3.809 3.032
abaft 5.602 3.933 3.435
abalone 5.788 3.927 3.558
abalones 6.031 4.149 3.511
abandon 5.529 4.142 2.814
abandoned 5.513 4.105 2.993
abandonee 4.579 4.259 2.512
abandoner 5.566 4.248 3.278
abandoning 5.486 4.147 2.869
abandonment 5.373 4.186 2.803
abandons 5.496 4.156 2.921
abase 5.252 4.05 2.735
abased 5.788 3.733 2.558
abasement 5.479 4.186 2.734
abash 5.394 3.861 2.845
abashed 5.59 4.042 2.937
abate 5.377 4.164 2.968
abated 5.487 4.281 2.881
abatement 4.868 4.303 3.225
abates 5.186 4.196 2.88
abating 5.522 4.218 3.041
abattoir 5.527 4.006 3.225
abbacy 5.573 3.941 2.968
abbess 5.864 3.868 3.118
abbesses 5.664 3.738 2.836
abbey 5.66 3.991 3.166
abbeys 5.552 4.057 2.86
abbot 5.525 3.967 3.002
abbots 5.482 3.961 2.978
abbreviate 5.68 3.825 2.828
abbreviated 5.61 3.845 3.006
abbreviation 5.609 3.834 2.968
abbreviations 5.702 3.765 2.984
abdicate 5.555 4.197 2.745
abdicated 5.368 4.171 2.852
abdicates 5.458 4.228 2.881
abdicating 5.419 4.207 2.71
abdication 5.356 4.18 2.725
abdomen 5.14 4.207 3.459
abdomens 5.384 4.218 3.372
abdominal 4.536 4.362 3.413
abdominally 5.114 3.92 2.95
abdominals 5.668 4.096 3.242
abduct 6.485 4.607 2.958
abducted 5.317 4.292 3.271
abductee 5.568 4.122 2.963
abducting 5.224 4.294 3.203
abduction 5.27 4.327 3.057
abductions 5.22 4.282 2.998
abductor 5.551 4.193 3.226
abductors 5.38 4.262 3.044
abducts 5.101 4.359 3.374
abe 5.588 4.098 3.022
abeam 5.573 3.884 3.244
abed 5.451 4.191 3.275
abel 5.543 4.206 3.106
aberrant 5.399 4.144 2.729
aberration 5.527 4.055 2.808
aberrations 5.359 4.075 2.783
abet 5.231 4.32 2.852
abetted 5.17 4.285 2.856
abetting 4.994 4.511 3.11
abettor 4.831 4.482 2.949
abeyance 5.526 4.095 2.819
abhor 5.374 4.289 2.718
abhorred 5.306 4.372 3.006
abhorrence 5.285 4.29 2.687
abhorrent 5.368 4.208 2.712
