target,source,adj,noun,article,ID,adjFreq,nounFreq,targetFreq,adjConc,nounConc,targetConc,adjVal,nounVal,targetVal,targetAbsVal,adjAbsVal,nounAbsVal,adjContVal,nounContVal,targetContVal,adjContAbsVal,nounContAbsVal,targetContAbsVal
speech,comforting song,comforting,song,indefinite,1,-0.70494049,2.9872577175256527,2.595444985050297,-0.6029902198114511,1.3708165359110736,0.3213290414049508,1.8873394132842338,1.9814650664725209,0.4362355932981429,0.4362355932981429,1.8873394132842338,1.9814650664725209,0.6826266473538428,1.8701742306612452,0.04570666322703931,0.6826266473538428,1.8701742306612452,0.04570666322703931
religion,relaxing music,relaxing,music,no_article,2,-0.70494049,3.1810709266327812,-0.70494049,-0.4007953814203632,1.2263916513460105,-1.276973014448411,2.4520933324139556,2.044215501931379,0.27935950465099774,0.27935950465099774,2.4520933324139556,2.044215501931379,1.299000825541076,2.502985053600136,0.03748834085120681,1.299000825541076,2.502985053600136,0.03748834085120681
business,pure water,pure,water,no_article,3,2.3605970421700286,3.3697794382916952,3.5458109524964634,-1.1229198042456772,1.8907461203452998,0.23467411066591282,1.3618045163162982,1.5186806049634431,0.3264223312451416,0.3264223312451416,1.3618045163162982,1.5186806049634431,-0.9815836337516803,0.514151038649335,0.4525136208306095,0.9815836337516803,0.514151038649335,0.4525136208306095
fear,sweet love,sweet,love,no_article,4,3.119325622592841,4.078401140993403,2.843477161233476,0.9279135565782144,-0.9303532914922604,-0.44893700960871774,2.122653546254951,2.3030610481991682,-1.6737477990059573,1.6737477990059573,2.122653546254951,2.3030610481991682,0.3867670418239713,1.233254246534438,-0.6528507387184934,0.3867670418239713,1.233254246534438,0.6528507387184934
music,comforting fire,comforting,fire,indefinite,5,-0.70494049,3.301886619037155,3.1810709266327812,-0.6029902198114511,1.5826396999398322,1.2263916513460105,1.8873394132842338,-0.5834589829082995,2.044215501931379,2.044215501931379,1.8873394132842338,0.5834589829082995,0.6826266473538428,-0.9939111173154254,2.502985053600136,0.6826266473538428,0.9939111173154254,2.502985053600136
art,gentle love,gentle,love,no_article,6,2.2100658668233817,4.078401140993403,2.7978825279761255,-0.48745031215940116,-0.9303532914922604,1.0915950924186189,1.8481203911224477,2.3030610481991682,1.4010235384780843,1.4010235384780843,1.8481203911224477,2.3030610481991682,0.9209579962529051,1.233254246534438,1.3483107597960529,0.9209579962529051,1.233254246534438,1.3483107597960529
language,celebrated art,celebrated,art,indefinite,7,-0.70494049,2.7978825279761255,2.5362019310336854,-1.0266365478689687,1.0915950924186189,-0.6607601736374763,NA,1.4010235384780843,1.0323647301572936,1.0323647301572936,NA,1.4010235384780843,1.0853244437695004,1.3483107597960529,0.547024328152654,1.0853244437695004,1.3483107597960529,0.547024328152654
war,tender love,tender,love,no_article,8,1.942584135490672,4.078401140993403,3.213893791966557,-0.43930868397104667,-0.9303532914922604,0.5716655079843928,1.1029589700485087,2.3030610481991682,-2.222814109270965,2.222814109270965,1.1029589700485087,2.3030610481991682,0.5346968445889089,1.233254246534438,-2.460881661401038,0.5346968445889089,1.233254246534438,2.460881661401038
power,comforting fire,comforting,fire,indefinite,9,-0.70494049,3.301886619037155,3.1896963542351644,-0.6029902198114511,1.5826396999398322,-0.9592382684052727,1.8873394132842338,-0.5834589829082995,0.7107687484306463,0.7107687484306463,1.8873394132842338,0.5834589829082995,0.6826266473538428,-0.9939111173154254,-0.4515018405106628,0.6826266473538428,0.9939111173154254,0.4515018405106628
security,warming light,warming,light,indefinite,10,1.6172199929455715,3.2306240696176287,-0.70494049,0.292444064491938,1.1301083949693023,-0.2082288686669464,NA,1.165709405507367,1.0558961434543657,1.0558961434543657,NA,1.165709405507367,-0.003603271027941099,0.4442952984547806,-0.22960713636325825,0.003603271027941099,0.4442952984547806,0.22960713636325825
love,comforting fire,comforting,fire,indefinite,11,-0.70494049,3.301886619037155,4.078401140993403,-0.6029902198114511,1.5826396999398322,-0.9303532914922604,1.8873394132842338,-0.5834589829082995,2.3030610481991682,2.3030610481991682,1.8873394132842338,0.5834589829082995,0.6826266473538428,-0.9939111173154254,1.233254246534438,0.6826266473538428,0.9939111173154254,1.233254246534438
life,enjoyable comedy,enjoyable,comedy,indefinite,12,-0.70494049,-0.70494049,3.9399124609966956,-0.9592382684052727,0.06136424918783773,-0.3333971019566674,2.0128402842019497,2.342280070360955,1.267678863128011,1.267678863128011,2.0128402842019497,2.342280070360955,1.8496284247216674,1.1181977332728195,0.05392498560286816,1.8496284247216674,1.1181977332728195,0.05392498560286816
life,appealing wine,appealing,wine,indefinite,13,-0.70494049,2.800157173864118,3.9399124609966956,-0.8340700351155518,1.688551281954212,-0.3333971019566674,NA,0.6166430952423593,1.267678863128011,1.267678863128011,NA,0.6166430952423593,0.3826578806360587,1.171616828715716,0.05392498560286816,0.3826578806360587,1.171616828715716,0.05392498560286816
language,gentle love,gentle,love,no_article,14,2.2100658668233817,4.078401140993403,2.5362019310336854,-0.48745031215940116,-0.9303532914922604,-0.6607601736374763,1.8481203911224477,2.3030610481991682,1.0323647301572936,1.0323647301572936,1.8481203911224477,2.3030610481991682,0.9209579962529051,1.233254246534438,0.547024328152654,0.9209579962529051,1.233254246534438,0.547024328152654
history,modern science,modern,science,indefinite,15,2.2337389337756512,2.543313440913882,-0.70494049,-0.6992734761881597,-0.23711384557995877,-0.07343230973955434,0.7735191838895044,0.9853019035631505,0.7343001617277183,0.7343001617277183,0.7735191838895044,0.9853019035631505,0.32923878519316574,0.7689190323000549,-0.2830262318061513,0.32923878519316574,0.7689190323000549,0.2830262318061513
power,warming light,warming,light,indefinite,16,1.6172199929455715,3.2306240696176287,3.1896963542351644,0.292444064491938,1.1301083949693023,-0.9592382684052727,NA,1.165709405507367,0.7107687484306463,0.7107687484306463,NA,1.165709405507367,-0.003603271027941099,0.4442952984547806,-0.4515018405106628,0.003603271027941099,0.4442952984547806,0.4515018405106628
design,warming light,warming,light,indefinite,17,1.6172199929455715,3.2306240696176287,2.222624904829918,0.292444064491938,1.1301083949693023,0.22504578502824216,NA,1.165709405507367,1.3618045163162982,1.3618045163162982,NA,1.165709405507367,-0.003603271027941099,0.4442952984547806,0.7524823875483972,0.003603271027941099,0.4442952984547806,0.7524823875483972
religion,celebrated art,celebrated,art,indefinite,18,-0.70494049,2.7978825279761255,-0.70494049,-1.0266365478689687,1.0915950924186189,-1.276973014448411,NA,1.4010235384780843,0.27935950465099774,0.27935950465099774,NA,1.4010235384780843,1.0853244437695004,1.3483107597960529,0.03748834085120681,1.0853244437695004,1.3483107597960529,0.03748834085120681
disorder,calming sleep,calming,sleep,indefinite,19,1.0564284140488873,3.384271857583155,-0.70494049,NA,1.3515598846357324,0.06136424918783773,NA,1.6912443024753026,-1.022712031120306,1.022712031120306,NA,1.6912443024753026,0.36211207469648476,0.35800291350856855,-2.847142813065038,0.36211207469648476,0.35800291350856855,2.847142813065038
